GISJOIN,GEOID,TotPop,Allocated
G0100310010600,14000US01031010600,1520,52
G0100310010700,14000US01031010700,2190,260
G0100310010800,14000US01031010800,2726,292
G0100310010900,14000US01031010900,2137,186
G0100310011000,14000US01031011000,3049,255
G0100310011100,14000US01031011100,1976,214
G0100310011201,14000US01031011201,8151,642
G0100310011202,14000US01031011202,7735,1038
G0100310011300,14000US01031011300,3510,328
G0100330020100,14000US01033020100,3092,207
G0100330020200,14000US01033020200,1775,82
G0100330020300,14000US01033020300,1913,110
G0100330020400,14000US01033020400,1742,85
G0100330020500,14000US01033020500,5182,366
G0100330020600,14000US01033020600,3955,249
G0100330020701,14000US01033020701,6216,359
G0100330020703,14000US01033020703,4390,645
G0100330020704,14000US01033020704,4036,192
G0100330020801,14000US01033020801,4104,259
G0100330020802,14000US01033020802,3623,213
G0100330020901,14000US01033020901,4166,401
G0100330020902,14000US01033020902,3445,359
G0100330021000,14000US01033021000,3528,165
G0100350960200,14000US01035960200,1905,149
G0100350960300,14000US01035960300,1626,57
G0100350960400,14000US01035960400,3301,194
G0100350960500,14000US01035960500,1537,142
G0100350960600,14000US01035960600,3280,168
G0100370961000,14000US01037961000,3121,95
G0100370961100,14000US01037961100,3385,271
G0100370961200,14000US01037961200,3478,257
G0100390961600,14000US01039961600,4000,170
G0100390961700,14000US01039961700,3515,80
G0100390961800,14000US01039961800,2633,283
G0100390961900,14000US01039961900,2054,118
G0100390962000,14000US01039962000,3382,121
G0100390962100,14000US01039962100,1681,101
G0100390962300,14000US01039962300,3255,153
G0100390962400,14000US01039962400,2928,264
G0100390962500,14000US01039962500,1198,68
G0100390962600,14000US01039962600,1425,95
G0100390962700,14000US01039962700,1638,202
G0100390962800,14000US01039962800,1724,204
G0100390962900,14000US01039962900,1870,212
G0100390963000,14000US01039963000,3179,203
G0100410963400,14000US01041963400,1883,280
G0100410963500,14000US01041963500,1774,148
G0100410963600,14000US01041963600,2819,209
G0100410963700,14000US01041963700,3446,344
G0100410963800,14000US01041963800,1380,180
G0100410963900,14000US01041963900,1521,121
G0100430964100,14000US01043964100,6237,310
G0100430964200,14000US01043964200,6377,517
G0100430964300,14000US01043964300,4635,511
G0100430964400,14000US01043964400,4003,261
G0100430964500,14000US01043964500,4002,343
G0100430964600,14000US01043964600,3424,197
G0100430964700,14000US01043964700,5198,327
G0100430964800,14000US01043964800,3764,333
G0100430964900,14000US01043964900,5953,452
G0100430965000,14000US01043965000,5895,211
G0100430965100,14000US01043965100,3574,318
G0100430965200,14000US01043965200,2497,304
G0100430965300,14000US01043965300,4357,454
G0100430965401,14000US01043965401,2911,194
G0100430965402,14000US01043965402,4070,398
G0100430965500,14000US01043965500,4997,634
G0100430965600,14000US01043965600,2224,48
G0100430965700,14000US01043965700,2746,318
G0100450020000,14000US01045020000,2387,32
G0100450020100,14000US01045020100,3161,331
G0100450020200,14000US01045020200,2010,238
G0100450020300,14000US01045020300,2112,122
G0100450020400,14000US01045020400,2417,197
G0100450020500,14000US01045020500,1716,153
G0100450020700,14000US01045020700,2962,207
G0100450020801,14000US01045020801,3052,429
G0100450020802,14000US01045020802,3864,275
G0100450021101,14000US01045021101,4255,382
G0100450021102,14000US01045021102,3712,388
G0100450021200,14000US01045021200,2428,122
G0100450021300,14000US01045021300,4102,388
G0100450021400,14000US01045021400,4874,515
G0100470956100,14000US01047956100,6225,418
G0100470956201,14000US01047956201,2220,157
G0100470956202,14000US01047956202,1877,66
G0100470956300,14000US01047956300,3480,350
G0100470956400,14000US01047956400,2741,77
G0100470956500,14000US01047956500,2799,250
G0100470956600,14000US01047956600,2253,151
G0100470956701,14000US01047956701,1908,116
G0100470956702,14000US01047956702,1491,85
G0100470956800,14000US01047956800,1949,161
G0100470956900,14000US01047956900,2469,40
G0100470957000,14000US01047957000,1096,99
G0100470957100,14000US01047957100,1329,114
G0100470957200,14000US01047957200,1229,74
G0100470957300,14000US01047957300,3420,122
G0100490960100,14000US01049960100,5649,455
G0100490960200,14000US01049960200,3004,112
G0100490960300,14000US01049960300,6792,337
G0100490960400,14000US01049960400,5726,457
G0100490960500,14000US01049960500,5449,383
G0100490960600,14000US01049960600,5561,421
G0100490960700,14000US01049960700,7329,234
G0100490960800,14000US01049960800,4669,136
